arm absolute position,arm absolute position filtered,arm position
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1.58203125,-1.58203125,8.778076171875
-1.58203125,-1.58203125,8.778076171875
-1.58203125,-1.58203125,8.778076171875
-1.58203125,-1.58203125,8.778076171875
-1.58203125,-1.58203125,8.778076171875
-1.58203125,-1.58203125,8.778076171875
-1.58203125,-1.58203125,8.778076171875
-1.58203125,-1.58203125,8.778076171875
-1.7578125,-1.0546875,8.778076171875
-1.7578125,-1.0546875,8.778076171875
-1.7578125,-1.0546875,8.778076171875
-1.7578125,-1.0546875,8.778076171875
-1.7578125,-1.0546875,8.778076171875
-1.7578125,-1.0546875,8.778076171875
-1.7578125,-1.0546875,8.778076171875
-1.7578125,-1.0546875,8.778076171875
-1.7578125,-1.0546875,8.778076171875
-0.703125,-1.23046875,8.778076171875
-0.703125,-1.23046875,8.778076171875
-0.703125,-1.23046875,8.778076171875
-0.703125,-1.23046875,8.778076171875
-0.703125,-1.23046875,8.778076171875
-0.703125,-1.23046875,8.778076171875
-0.703125,-1.23046875,8.778076171875
-0.703125,-1.23046875,8.778076171875
-0.703125,-1.23046875,8.778076171875
-0.703125,-1.23046875,8.778076171875
-2.724609375,-1.40625,8.778076171875
-2.724609375,-1.40625,8.778076171875
-2.724609375,-1.40625,8.778076171875
-2.724609375,-1.40625,8.778076171875
-2.724609375,-1.40625,8.778076171875
-2.724609375,-1.40625,8.778076171875
-2.724609375,-1.40625,8.778076171875
-2.724609375,-1.40625,8.778076171875
-2.724609375,-1.40625,8.778076171875
-3.515625,-0.439453125,8.778076171875
-3.515625,-0.439453125,8.778076171875
-3.515625,-0.439453125,8.778076171875
-3.515625,-0.439453125,8.778076171875
-3.515625,-0.439453125,8.778076171875
-3.515625,-0.439453125,8.778076171875
-3.515625,-0.439453125,8.778076171875
-3.515625,-0.439453125,8.778076171875
-3.515625,-0.439453125,8.778076171875
-3.515625,-0.439453125,8.778076171875
-1.23046875,-1.7578125,8.778076171875
-1.23046875,-1.7578125,8.778076171875
-1.23046875,-1.7578125,8.778076171875
-1.23046875,-1.7578125,8.778076171875
-1.23046875,-1.7578125,8.778076171875
-1.23046875,-1.7578125,8.778076171875
-1.23046875,-1.7578125,8.778076171875
-1.23046875,-1.7578125,8.778076171875
-1.23046875,-1.7578125,8.778076171875
-1.7578125,-1.845703125,8.778076171875
-1.7578125,-1.845703125,8.778076171875
-1.7578125,-1.845703125,8.778076171875
-1.7578125,-1.845703125,8.778076171875
-1.7578125,-1.845703125,8.778076171875
-1.7578125,-1.845703125,8.778076171875
-1.7578125,-1.845703125,8.778076171875
-1.7578125,-1.845703125,8.778076171875
-1.7578125,-1.845703125,8.778076171875
-1.7578125,-1.845703125,8.778076171875
-1.23046875,-1.142578125,8.778076171875
-1.23046875,-1.142578125,8.778076171875
-1.23046875,-1.142578125,8.778076171875
-1.23046875,-1.142578125,8.778076171875
-1.23046875,-1.142578125,8.778076171875
-1.23046875,-1.142578125,8.778076171875
-1.23046875,-1.142578125,8.778076171875
-1.23046875,-1.142578125,8.778076171875
-1.23046875,-1.142578125,8.778076171875
-0.87890625,-0.966796875,8.778076171875
-0.87890625,-0.966796875,8.778076171875
-0.87890625,-0.966796875,8.778076171875
-0.87890625,-0.966796875,8.778076171875
-0.87890625,-0.966796875,8.778076171875
-0.87890625,-0.966796875,8.778076171875
-0.87890625,-0.966796875,8.778076171875
-0.87890625,-0.966796875,8.778076171875
-0.87890625,-0.966796875,8.778076171875
-1.40625,-1.7578125,8.778076171875
-1.40625,-1.7578125,8.778076171875
-1.40625,-1.7578125,8.778076171875
-1.40625,-1.7578125,8.778076171875
-1.40625,-1.7578125,8.778076171875
-1.40625,-1.7578125,8.778076171875
-1.40625,-1.7578125,8.778076171875
-1.40625,-1.7578125,8.778076171875
-1.40625,-1.7578125,8.778076171875
-1.40625,-1.7578125,8.778076171875
-0.87890625,-1.40625,8.778076171875
-0.87890625,-1.40625,8.778076171875
-0.87890625,-1.40625,8.778076171875
-0.87890625,-1.40625,8.778076171875
-0.87890625,-1.40625,8.778076171875
-0.87890625,-1.40625,8.778076171875
-0.87890625,-1.40625,8.778076171875
-0.87890625,-1.40625,8.778076171875
-0.87890625,-1.40625,8.778076171875
-1.0546875,-1.93359375,8.778076171875
-1.0546875,-1.93359375,8.778076171875
-1.0546875,-1.93359375,8.778076171875
-1.0546875,-1.93359375,8.778076171875
-1.0546875,-1.93359375,8.778076171875
-1.0546875,-1.93359375,8.778076171875
-1.0546875,-1.93359375,8.778076171875
-1.0546875,-1.93359375,8.778076171875
-1.0546875,-1.93359375,8.778076171875
-1.0546875,-1.93359375,8.778076171875
-0.791015625,-2.197265625,8.778076171875
-0.791015625,-2.197265625,8.778076171875
-0.791015625,-2.197265625,8.778076171875
-0.791015625,-2.197265625,8.778076171875
-0.791015625,-2.197265625,8.778076171875
-0.791015625,-2.197265625,8.778076171875
-0.791015625,-2.197265625,8.778076171875
-0.791015625,-2.197265625,8.778076171875
-0.791015625,-2.197265625,8.778076171875
-2.28515625,-2.548828125,8.778076171875
-2.28515625,-2.548828125,8.778076171875
-2.28515625,-2.548828125,8.778076171875
-2.28515625,-2.548828125,8.778076171875
-2.28515625,-2.548828125,8.778076171875
-2.28515625,-2.548828125,8.778076171875
-2.28515625,-2.548828125,8.778076171875
-2.28515625,-2.548828125,8.778076171875
-2.28515625,-2.548828125,8.778076171875
-2.28515625,-2.548828125,8.778076171875
-2.724609375,-1.142578125,8.778076171875
-2.724609375,-1.142578125,8.778076171875
-2.724609375,-1.142578125,8.778076171875
-2.724609375,-1.142578125,8.778076171875
